Source,Target,Type,Id,Label,Weight,d1
Liverpool,2004 Summer Olympics,Undirected,0,,1,0
Liverpool,Anathema (Band),Undirected,1,,1,0
Liverpool,Athens,Undirected,2,,1,0
Liverpool,Atlantic Slave Trade,Undirected,3,,1,0
Liverpool,Australia,Undirected,4,,1,0
Liverpool,Avanti West Coast,Undirected,5,,1,0
Liverpool,Bbc,Undirected,6,,1,0
Liverpool,Baltic States,Undirected,7,,1,0
Liverpool,Beat Music,Undirected,8,,1,0
Liverpool,Belgium,Undirected,9,,1,0
Liverpool,Beyoncé,Undirected,10,,1,0
Liverpool,Birmingham,Undirected,11,,1,0
Liverpool,Black British People,Undirected,12,,1,0
Liverpool,Black Death,Undirected,13,,1,0
Liverpool,Bristol,Undirected,14,,1,0
Liverpool,British African-Caribbean People,Undirected,15,,1,0
Liverpool,British Chinese,Undirected,16,,1,0
Liverpool,British Indian,Undirected,17,,1,0
Liverpool,British Invasion,Undirected,18,,1,0
Liverpool,British Summer Time,Undirected,19,,1,0
Liverpool,Britpop,Undirected,20,,1,0
Liverpool,Brussels,Undirected,21,,1,0
Liverpool,Caribbean,Undirected,22,,1,0
Liverpool,Ceremonial Counties Of England,Undirected,23,,1,0
Liverpool,Charles I Of England,Undirected,24,,1,0
Liverpool,Cheshire,Undirected,25,,1,0
Liverpool,Chester,Undirected,26,,1,0
Liverpool,Cholera,Undirected,27,,1,0
Liverpool,City Of London,Undirected,28,,1,0
Liverpool,Conservative Party (Uk),Undirected,29,,1,0
Liverpool,Countries Of The United Kingdom,Undirected,30,,1,0
Liverpool,Daylight Saving Time,Undirected,31,,1,0
Liverpool,Demonym,Undirected,32,,1,0
Liverpool,Districts Of England,Undirected,33,,1,0
Liverpool,Easyjet,Undirected,34,,1,0
Liverpool,Elton John,Undirected,35,,1,0
Liverpool,England,Undirected,36,,1,0
Liverpool,Europe,Undirected,37,,1,0
Liverpool,European Union,Undirected,38,,1,0
Liverpool,Finland,Undirected,39,,1,0
Liverpool,France,Undirected,40,,1,0
Liverpool,Gss Coding System,Undirected,41,,1,0
Liverpool,Geographic Coordinate System,Undirected,42,,1,0
Liverpool,Government Of The United Kingdom,Undirected,43,,1,0
Liverpool,Greenwich Mean Time,Undirected,44,,1,0
Liverpool,Helsinki,Undirected,45,,1,0
Liverpool,Issn (Identifier),Undirected,46,,1,0
Liverpool,Iceland,Undirected,47,,1,0
Liverpool,Industrial Revolution,Undirected,48,,1,0
Liverpool,Irish Sea,Undirected,49,,1,0
Liverpool,Jstor (Identifier),Undirected,50,,1,0
Liverpool,John Lennon,Undirected,51,,1,0
Liverpool,Kanye West,Undirected,52,,1,0
Liverpool,Kingston-Upon-Hull,Undirected,53,,1,0
Liverpool,Lady Gaga,Undirected,54,,1,0
